feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,0.13825941,0.4638176,0.0044734296,0.35639915,0.3362372,-0.06075721,-0.3921818
attn_0_0_outputs,1,0.25454435,0.15650173,0.041074652,0.019047307,0.43243498,0.33667162,0.5425829
attn_0_0_outputs,2,0.13528946,0.24346702,0.31425434,0.05756749,0.115062915,-0.015257596,-0.014016583
attn_0_0_outputs,3,0.23810686,0.2721747,-0.07411746,1.7175908,0.18874492,0.16103014,-1.9251304
attn_0_0_outputs,4,0.5163185,0.6297973,0.3938747,-0.16458416,0.6490386,0.24934357,-1.5970342
attn_0_0_outputs,5,-0.14629743,-0.09713475,-0.5079914,0.37083367,-0.15118371,-0.30614164,-0.20313703
attn_0_0_outputs,<pad>,-0.62227875,-0.2221319,-0.30784953,-0.34967613,-0.04764034,0.11405271,0.8402647
attn_0_0_outputs,<s>,-0.012871163,-0.16598395,-0.3369893,-7.000413,-0.07769441,-0.12458487,0.82169724
attn_0_1_outputs,0,1.0615904,0.18957222,0.0396412,0.1630798,0.25983518,0.29082748,0.5516374
attn_0_1_outputs,1,-0.33236504,0.6224527,-0.35194492,-0.4361695,-0.15618372,0.014729992,0.21908908
attn_0_1_outputs,2,-0.023430672,0.13843872,1.2899622,0.16331308,0.14902434,0.2781245,-0.5654936
attn_0_1_outputs,3,-0.33881676,-0.35291356,-0.24156164,0.51344526,-0.14456193,0.043859333,0.21886387
attn_0_1_outputs,4,-0.3948819,-0.20131117,-0.22854823,-0.20461704,1.1082984,-0.09095132,-0.91867393
attn_0_1_outputs,5,-0.3916765,-0.33737573,-0.48063314,-0.37094358,-0.25374672,0.683234,0.13981766
attn_0_1_outputs,<pad>,0.38882414,-0.60765326,-0.30586112,-0.07533332,-0.7891642,-0.17298481,1.0221226
attn_0_1_outputs,<s>,-0.30042785,-0.13053088,-0.1472441,-0.30433202,-0.048015054,0.09372984,0.6078621
attn_0_2_outputs,0,0.2973564,-0.2785059,-0.561421,-0.07260592,-0.079317555,0.0007616631,0.25009218
attn_0_2_outputs,1,0.24598484,0.781674,-0.103618845,0.42169347,0.43021655,0.6061235,0.75481343
attn_0_2_outputs,2,0.21504605,0.00040566898,0.6293243,-0.0060910974,0.08204187,0.340063,-0.6459598
attn_0_2_outputs,3,-0.07116479,-0.096351095,-0.4873708,0.2867442,0.11557695,0.014854027,0.36677334
attn_0_2_outputs,4,0.20487772,0.083407626,-0.26735845,0.068070576,1.3033037,0.25750726,-0.449822
attn_0_2_outputs,5,-0.18508619,-0.29568934,-0.64231485,-0.53083533,-0.26444545,0.34954667,-0.07095428
attn_0_2_outputs,<pad>,0.34557214,0.15361407,-0.37609562,-0.64533675,0.4089107,0.01761915,0.5951813
attn_0_2_outputs,<s>,-0.07404878,-0.18544708,-0.69999725,-0.2582217,-0.05473964,-0.067926496,0.5737746
attn_0_3_outputs,0,2.732672,0.48073584,0.074515894,-0.0039123483,0.062812634,-0.8367819,-1.3434772
attn_0_3_outputs,1,0.9337969,0.21418971,-0.26158956,0.13256092,0.09219124,0.91191983,-0.9342117
attn_0_3_outputs,2,-1.7014682,0.10128504,0.33474457,-0.16377048,-0.1279505,0.8125415,0.081451796
attn_0_3_outputs,3,0.355404,0.5941508,0.11304954,0.25097317,0.21183765,-0.5391228,-0.1365746
attn_0_3_outputs,4,1.4994919,0.3434297,-0.18732649,-0.1568661,0.03461664,-0.6894255,-0.30852592
attn_0_3_outputs,5,-2.7084126,-0.2567188,-0.46174496,-0.51278365,-0.3501268,1.6803563,-2.2696438
attn_0_3_outputs,<pad>,-0.34741178,-0.2047995,-0.81489956,-0.71799314,-0.51561314,-0.016340746,1.4538229
attn_0_3_outputs,<s>,-2.1948435,0.31186518,0.17393455,0.041380562,0.26103047,-2.7969313,2.035908
attn_1_0_outputs,0,-1.734675,-0.474661,-0.38640833,-0.31026956,-0.22684333,-0.32647872,1.6423843
attn_1_0_outputs,1,1.001981,0.0053543085,-0.041598853,0.17519718,0.17551115,0.24160382,-1.0759221
