epoch,epoch_loss,split,loss,acc,sample_fn
0,1.6763381,train,1.4229939,0.5119936149100479,gumbel_soft
0,1.6763381,val,1.4234444,0.515678776290631,gumbel_soft
0,1.6763381,test,1.3958197,0.5285739405662037,gumbel_soft
1,1.3731331,train,1.3372527,0.5152724448854566,gumbel_soft
1,1.3731331,val,1.3370416,0.5084130019120459,gumbel_soft
1,1.3731331,test,1.324168,0.5197819588535256,gumbel_soft
2,1.3224764,train,1.3140541,0.5247206523145951,gumbel_soft
2,1.3224764,val,1.302928,0.5248565965583174,gumbel_soft
2,1.3224764,test,1.2908354,0.5371900826446281,gumbel_soft
3,1.3048811,train,1.295926,0.526209068553432,gumbel_soft
3,1.3048811,val,1.2868954,0.5258126195028681,gumbel_soft
3,1.3048811,test,1.2785369,0.5391243186214173,gumbel_soft
4,1.287783,train,1.2797099,0.527503343543725,gumbel_soft
4,1.287783,val,1.2734425,0.5288718929254302,gumbel_soft
4,1.287783,test,1.2633666,0.5305081765429928,gumbel_soft
5,1.2629993,train,1.2403737,0.5410069459424479,gumbel_soft
5,1.2629993,val,1.2632464,0.5254302103250478,gumbel_soft
5,1.2629993,test,1.2254757,0.5537190082644629,gumbel_soft
6,1.2226107,train,1.205378,0.548815738383882,gumbel_soft
6,1.2226107,val,1.2014807,0.5518164435946463,gumbel_soft
6,1.2226107,test,1.1911803,0.55407068753297,gumbel_soft
7,1.212094,train,1.1889362,0.5476724621424566,gumbel_soft
7,1.212094,val,1.1834017,0.5462715105162524,gumbel_soft
7,1.212094,test,1.1563665,0.5677861790047477,gumbel_soft
8,1.1752692,train,1.1425124,0.5684455757366582,gumbel_soft
8,1.1752692,val,1.1823988,0.5533460803059274,gumbel_soft
8,1.1752692,test,1.1208767,0.5851943027958502,gumbel_soft
9,1.1337626,train,1.1231787,0.5728892532033306,gumbel_soft
9,1.1337626,val,1.0894048,0.5850860420650096,gumbel_soft
9,1.1337626,test,1.0818481,0.5913486899947248,gumbel_soft
10,1.1252363,train,1.0930265,0.5834807368738945,gumbel_soft
10,1.1252363,val,1.0638729,0.5912045889101338,gumbel_soft
10,1.1252363,test,1.0734749,0.5943379637770353,gumbel_soft
11,1.0776733,train,1.0622541,0.5838905906208206,gumbel_soft
11,1.0776733,val,1.0366868,0.5869980879541109,gumbel_soft
11,1.0776733,test,1.0539359,0.5934587656057675,gumbel_soft
12,1.0599817,train,1.0265207,0.6017731567367013,gumbel_soft
12,1.0599817,val,1.0066099,0.6061185468451242,gumbel_soft
12,1.0599817,test,0.9942733,0.6128011253736593,gumbel_soft
13,1.0261792,train,1.0115107,0.6080719616894603,gumbel_soft
13,1.0261792,val,0.97221553,0.6304015296367113,gumbel_soft
13,1.0261792,test,0.9718479,0.6247582205029013,gumbel_soft
14,0.98008585,train,0.9808806,0.6226756978299323,gumbel_soft
14,0.98008585,val,0.9503305,0.6317399617590822,gumbel_soft
14,0.98008585,test,0.9293559,0.6346052400211007,gumbel_soft
15,0.9862609,train,0.9705343,0.6162906078778204,gumbel_soft
15,0.9862609,val,0.98616886,0.6173996175908222,gumbel_soft
15,0.9862609,test,0.96559316,0.6191313522067874,gumbel_soft
16,0.9492433,train,0.91766804,0.6435135251736486,gumbel_soft
16,0.9492433,val,0.9070771,0.652772466539197,gumbel_soft
16,0.9492433,test,0.90573734,0.6483207314928785,gumbel_soft
17,0.89991647,train,0.9079104,0.6434056689244575,gumbel_soft
17,0.89991647,val,0.90356493,0.6479923518164435,gumbel_soft
17,0.89991647,test,0.8849833,0.6578160717425707,gumbel_soft
18,0.88891906,train,0.8878277,0.6520125976099055,gumbel_soft
18,0.88891906,val,0.8680353,0.6523900573613767,gumbel_soft
18,0.88891906,test,0.8605686,0.6569368735713029,gumbel_soft
19,0.8643439,train,0.84384453,0.6640709262694681,gumbel_soft
19,0.8643439,val,0.81752425,0.6711281070745698,gumbel_soft
19,0.8643439,test,0.84794503,0.6578160717425707,gumbel_soft
20,0.8384658,train,0.8279977,0.6668104749989214,gumbel_soft
20,0.8384658,val,0.80141914,0.672848948374761,gumbel_soft
20,0.8384658,test,0.8100983,0.6752241955336733,gumbel_soft
21,0.83755714,train,0.8199467,0.6660123387549075,gumbel_soft
21,0.83755714,val,0.84133214,0.6596558317399618,gumbel_soft
21,0.83755714,test,0.8436996,0.6595744680851063,gumbel_soft
22,0.8054096,train,0.81656736,0.6756762586824281,gumbel_soft
22,0.8054096,val,0.7967549,0.6766730401529637,gumbel_soft
22,0.8054096,test,0.7769347,0.6908739229822402,gumbel_soft
23,0.8137233,train,0.80889434,0.6733897061995772,gumbel_soft
23,0.8137233,val,0.83194214,0.6636711281070745,gumbel_soft
23,0.8137233,test,0.8121471,0.6761033937049411,gumbel_soft
24,0.8190147,train,0.8299578,0.6651926312610552,gumbel_soft
24,0.8190147,val,0.8435225,0.6609942638623327,gumbel_soft
24,0.8190147,test,0.7798472,0.6782134693159838,gumbel_soft
25,0.8141095,train,0.79595256,0.6764959661762803,gumbel_soft
25,0.8141095,val,0.7936309,0.6732313575525812,gumbel_soft
25,0.8141095,test,0.8159386,0.6632671004044312,gumbel_soft
26,0.7836242,train,0.79964155,0.680465076146512,gumbel_soft
26,0.7836242,val,0.82831293,0.6711281070745698,gumbel_soft
26,0.7836242,test,0.806025,0.6813785827325479,gumbel_soft
27,0.8180594,train,0.8099625,0.6688381724837137,gumbel_soft
27,0.8180594,val,0.76850015,0.6772466539196941,gumbel_soft
27,0.8180594,test,0.76467896,0.6797960260242659,gumbel_soft
28,0.7897539,train,0.79355323,0.6795590836533069,gumbel_soft
28,0.7897539,val,0.78611016,0.6822179732313576,gumbel_soft
28,0.7897539,test,0.7603197,0.6908739229822402,gumbel_soft
29,0.7936412,train,0.8163698,0.6720522887096079,gumbel_soft
29,0.7936412,val,0.82092124,0.6627151051625239,gumbel_soft
29,0.7936412,test,0.9558699,0.6652013363812204,gumbel_soft
30,0.8023709,train,0.8031543,0.6733034212002244,gumbel_soft
30,0.8023709,val,0.8338917,0.654302103250478,gumbel_soft
30,0.8023709,test,0.7507089,0.6912256022507474,gumbel_soft
31,0.8019532,train,0.81423444,0.6673066137452004,gumbel_soft
31,0.8019532,val,0.76966554,0.672848948374761,gumbel_soft
31,0.8019532,test,0.76610786,0.6815544223668015,gumbel_soft
32,0.80217624,train,0.80449986,0.6708874412183442,gumbel_soft
32,0.80217624,val,0.832131,0.6581261950286806,gumbel_soft
32,0.80217624,test,0.7666742,0.6783893089502374,gumbel_soft
33,0.79433304,train,0.8006376,0.67287199620346,gumbel_soft
33,0.79433304,val,0.8342176,0.6638623326959847,gumbel_soft
33,0.79433304,test,0.7973875,0.6736416388253913,gumbel_soft
34,0.86373603,train,0.8209601,0.6627550800293369,gumbel_soft
34,0.86373603,val,0.8268982,0.65717017208413,gumbel_soft
34,0.86373603,test,0.8064171,0.6676630912607702,gumbel_soft
35,0.82148165,train,0.820901,0.6633806462746451,gumbel_soft
35,0.82148165,val,0.8017867,0.667112810707457,gumbel_soft
35,0.82148165,test,0.7940377,0.675751714436434,gumbel_soft
36,0.82337517,train,0.8172467,0.665365201259761,gumbel_soft
36,0.82337517,val,0.8410762,0.6648183556405354,gumbel_soft
36,0.82337517,test,0.7811996,0.6868296113944083,gumbel_soft
37,0.8252754,train,0.80792534,0.6672203287458476,gumbel_soft
37,0.8252754,val,0.7803951,0.6759082217973231,gumbel_soft
37,0.8252754,test,0.78782666,0.677334271144716,gumbel_soft
38,0.84273076,train,0.874971,0.6430389576772079,gumbel_soft
38,0.84273076,val,0.8893729,0.6353728489483748,gumbel_soft
