epoch,epoch_loss,split,loss,acc,sample_fn
0,1.5259839,train,1.3404104,0.42246824847659653,gumbel_soft
0,1.5259839,val,1.3551533,0.41109331197436927,gumbel_soft
0,1.5259839,test,1.3444114,0.4139727011494253,gumbel_soft
1,1.2872945,train,1.2501452,0.4567308765429343,gumbel_soft
1,1.2872945,val,1.2521509,0.45114136964357227,gumbel_soft
1,1.2872945,test,1.2723067,0.43983477011494254,gumbel_soft
2,1.2392696,train,1.2304393,0.4628691323854378,gumbel_soft
2,1.2392696,val,1.2291372,0.46395674809771725,gumbel_soft
2,1.2392696,test,1.2457136,0.4500718390804598,gumbel_soft
3,1.2130424,train,1.1915237,0.4741635231356443,gumbel_soft
3,1.2130424,val,1.1922241,0.47677212655186224,gumbel_soft
3,1.2130424,test,1.2070801,0.46641522988505746,gumbel_soft
4,1.1709548,train,1.1424468,0.4903461976295172,gumbel_soft
4,1.1709548,val,1.1484907,0.49038846615939125,gumbel_soft
4,1.1709548,test,1.1561524,0.4800646551724138,gumbel_soft
5,1.110893,train,1.0683839,0.5179125465949421,gumbel_soft
5,1.110893,val,1.08104,0.5252302763315979,gumbel_soft
5,1.110893,test,1.083004,0.5088002873563219,gumbel_soft
6,1.0339628,train,0.9916622,0.5499654025579787,gumbel_soft
6,1.0339628,val,0.9954436,0.5498598317981578,gumbel_soft
6,1.0339628,test,0.99000746,0.5522629310344828,gumbel_soft
7,0.95892733,train,0.9131603,0.5927769469431486,gumbel_soft
7,0.95892733,val,0.9118324,0.5969162995594713,gumbel_soft
7,0.95892733,test,0.91160804,0.5876436781609196,gumbel_soft
8,0.87854797,train,0.84152234,0.6299859378138881,gumbel_soft
8,0.87854797,val,0.8518926,0.6307569082899479,gumbel_soft
8,0.87854797,test,0.84747267,0.6264367816091954,gumbel_soft
9,0.81192094,train,0.7806934,0.6658779937947814,gumbel_soft
9,0.81192094,val,0.7675502,0.6696035242290749,gumbel_soft
9,0.81192094,test,0.77382165,0.6672054597701149,gumbel_soft
10,0.75479275,train,0.7224324,0.6996495613937189,gumbel_soft
10,0.75479275,val,0.72204983,0.6940328394072888,gumbel_soft
10,0.75479275,test,0.71206814,0.6982758620689655,gumbel_soft
11,0.7043901,train,0.6793976,0.7199616079998215,gumbel_soft
11,0.7043901,val,0.68214875,0.7288746495794954,gumbel_soft
11,0.7043901,test,0.6798192,0.7165948275862069,gumbel_soft
12,0.6598561,train,0.6437345,0.7354969755139394,gumbel_soft
12,0.6598561,val,0.63703775,0.7422907488986784,gumbel_soft
12,0.6598561,test,0.6342035,0.7374281609195402,gumbel_soft
13,0.62998664,train,0.6203049,0.7445146313698355,gumbel_soft
13,0.62998664,val,0.6127517,0.7458950740889067,gumbel_soft
13,0.62998664,test,0.62707174,0.7433548850574713,gumbel_soft
14,0.6075711,train,0.60388714,0.7466351197517913,gumbel_soft
14,0.6075711,val,0.5998527,0.7400881057268722,gumbel_soft
14,0.6075711,test,0.5893608,0.759698275862069,gumbel_soft
15,0.59766334,train,0.5852771,0.7483315104573559,gumbel_soft
15,0.59766334,val,0.5857283,0.7466960352422908,gumbel_soft
15,0.59766334,test,0.5797174,0.7570043103448276,gumbel_soft
16,0.57760906,train,0.57309675,0.7516796500078123,gumbel_soft
16,0.57760906,val,0.57814956,0.7484981978374049,gumbel_soft
16,0.57760906,test,0.57062083,0.7575431034482759,gumbel_soft
17,0.5727378,train,0.56142014,0.7565679337514788,gumbel_soft
