feature,value,0,1,2,3,4
attn_0_0_outputs,0,2.806644,-1.5309514,-2.5733573,-2.4233515,-0.26929563
attn_0_0_outputs,1,0.73148847,1.9253824,-3.964787,-0.42739773,0.17106801
attn_0_0_outputs,2,-0.37528503,-1.8883622,2.2194235,-0.6165905,-0.5910911
attn_0_0_outputs,3,-1.6017243,-1.8939186,-0.21097124,2.2130105,-0.76434934
attn_0_0_outputs,4,-1.6238256,-1.6096057,-0.6306705,-0.85617095,2.6312041
attn_0_0_outputs,</s>,-1.2984732,2.3410687,1.4045296,-0.08844268,-4.134553
attn_0_0_outputs,<pad>,0.36896202,-0.27661097,-0.26891828,-0.5866352,0.30556357
attn_0_0_outputs,<s>,0.023472097,-0.75759107,-0.21195692,-0.28205925,0.23082991
attn_0_1_outputs,0,-1.045468,0.24981418,0.42701507,0.7287213,0.5118283
attn_0_1_outputs,1,1.0745478,-0.8741064,0.9790432,1.530739,1.272732
attn_0_1_outputs,2,0.81494683,0.54300183,-0.8623443,1.1704575,0.8563197
attn_0_1_outputs,3,0.84435844,0.63959986,0.9328121,-0.5296844,0.9419154
attn_0_1_outputs,4,0.9987981,1.0380894,0.99427027,1.3471524,-0.8196044
attn_0_1_outputs,</s>,-0.8925235,1.2776661,-0.22986506,-0.079970255,-0.45768723
attn_0_1_outputs,<pad>,0.3810813,0.4098956,0.02829011,0.72123617,0.122151315
attn_0_1_outputs,<s>,-1.0725224,1.3859692,-0.37059727,-0.9929118,-1.3254589
attn_0_2_outputs,0,1.946238,-1.5944086,-1.3241849,-0.99983346,0.12917177
attn_0_2_outputs,1,-0.4243113,1.6370559,-0.83084536,-0.6746462,0.6641754
attn_0_2_outputs,2,-1.079963,-1.694446,1.6063472,-1.0531864,-0.090980925
attn_0_2_outputs,3,-0.8643445,-1.7821306,-1.0862765,1.6161128,0.1318373
attn_0_2_outputs,4,-0.77615625,-1.6053913,-0.8281252,-0.9342546,2.5380838
attn_0_2_outputs,</s>,0.04309814,0.4926602,0.36445177,0.03982929,-0.4216995
attn_0_2_outputs,<pad>,0.003735219,-0.13885891,-0.19493504,-0.5323939,-0.14088713
attn_0_2_outputs,<s>,-0.24365029,-0.22520943,-0.30863687,-0.12530038,-0.64735186
attn_0_3_outputs,0,1.532582,0.8238621,-4.3848705,-1.6691405,0.11336344
attn_0_3_outputs,1,-0.11950396,3.3069212,-4.1026607,-1.7281979,0.17090106
attn_0_3_outputs,2,-1.8150138,-2.9681785,3.8295553,0.16647784,-3.1940346
attn_0_3_outputs,3,-1.9998541,-3.0941374,1.4582446,2.1860368,-3.2393954
attn_0_3_outputs,4,-2.179127,0.4196739,-0.41172045,-1.8437021,1.9504995
attn_0_3_outputs,</s>,-0.015501805,0.28759336,1.3840224,-0.17483611,-0.9638011
attn_0_3_outputs,<pad>,-0.037896425,-0.15181123,0.08970174,-0.5360967,0.5528245
attn_0_3_outputs,<s>,2.396223,-3.4486842,-2.2098022,1.1720449,2.5246847
attn_1_0_outputs,0,7.0065556,-3.6348708,-2.9651062,-2.9587183,-3.084956
attn_1_0_outputs,1,-2.4947212,6.8122144,-2.6689453,-2.847399,-2.788748
attn_1_0_outputs,2,-2.458049,-3.0419247,7.0987854,-2.5373886,-2.6156054
attn_1_0_outputs,3,-2.3705482,-2.858409,-2.7066891,7.234214,-2.4860945
attn_1_0_outputs,4,-2.230903,-2.6302032,-2.384766,-2.111983,6.08566
attn_1_0_outputs,</s>,0.10343047,-0.546072,0.041361015,-0.2567651,-0.24441521
attn_1_0_outputs,<pad>,-0.44505706,-0.9207006,1.8600239,1.0867864,-1.602673
attn_1_0_outputs,<s>,-0.49380708,-0.42612696,-0.499761,-0.5157492,0.38921863
attn_1_1_outputs,0,-7.7145596,3.7937706,3.1915615,3.7065163,3.8077862
attn_1_1_outputs,1,2.905982,-7.910104,2.9642599,3.6151924,3.4633179
attn_1_1_outputs,2,2.7020288,3.0421999,-8.147406,3.3193765,3.1402068
