feature,value,0,1,2,3,4
attn_0_0_outputs,0,1.1645699,-1.1474233,-0.26579428,-0.30269632,-0.42205453
attn_0_0_outputs,1,2.0237484,7.1693563,-4.391499,-4.642056,-15.821778
attn_0_0_outputs,2,-0.6858306,-2.4528916,1.1050767,0.4833959,1.9662945
attn_0_0_outputs,3,-0.8986279,-1.6808339,0.43138766,0.5770829,1.1477388
attn_0_0_outputs,4,-5.0399427,-6.6795893,-1.058607,-0.24297607,6.0434837
attn_0_0_outputs,</s>,-0.29267895,-0.324597,0.5243462,0.16253299,-0.12084309
attn_0_0_outputs,<pad>,-0.06767257,-0.11908415,-0.22367166,-0.51116633,0.91171193
attn_0_0_outputs,<s>,0.5319896,-1.9689173,2.6340113,2.4434,-9.691382
attn_0_1_outputs,0,1.3373469,1.7289917,-1.2683465,-0.98743457,-2.7686577
attn_0_1_outputs,1,5.993035,6.7855916,0.03111555,-5.2811975,-9.92355
attn_0_1_outputs,2,0.3117595,0.5890346,3.9241965,-1.8070271,-6.35471
attn_0_1_outputs,3,-3.091159,-3.036266,-0.19731928,3.9203062,-0.5144406
attn_0_1_outputs,4,-4.8167853,-4.9927373,-2.2632375,1.5774574,6.4296703
attn_0_1_outputs,</s>,0.66107,-2.3103433,-2.620853,-0.19212872,5.713413
attn_0_1_outputs,<pad>,0.32465658,-0.09545823,-0.22899514,0.8661899,0.6407301
attn_0_1_outputs,<s>,-8.356037,-9.810896,-0.78727543,5.556669,13.300606
attn_0_2_outputs,0,7.894835,0.40936235,-4.363252,-10.315024,-6.002823
attn_0_2_outputs,1,-2.3472772,0.72384936,0.6590546,1.4419694,0.9959898
attn_0_2_outputs,2,2.2869246,0.020851826,0.39456275,-1.9262226,-1.5140296
attn_0_2_outputs,3,-6.8065543,-0.04325909,0.5292482,2.6731775,-0.7330691
attn_0_2_outputs,4,-11.749656,-3.550589,-1.59794,2.9729354,3.548385
attn_0_2_outputs,</s>,-0.054804865,-0.21899018,0.16597207,0.5549936,0.35167402
attn_0_2_outputs,<pad>,-0.28882238,-0.35766542,0.082392626,-0.44818458,0.26947212
attn_0_2_outputs,<s>,-3.6545718,2.7710114,2.9469059,-3.2429776,0.16113874
attn_0_3_outputs,0,9.595585,2.176179,-3.0064113,-7.5473394,-9.53105
attn_0_3_outputs,1,1.3768175,5.8757663,0.8006684,-3.800383,-5.9523945
attn_0_3_outputs,2,-4.829176,-1.037631,4.526727,-0.15088192,-2.2441576
attn_0_3_outputs,3,-8.896437,-5.1596913,-0.6287829,4.5523734,2.7240725
attn_0_3_outputs,4,-10.308258,-6.9174423,-2.6300402,2.563102,9.821294
attn_0_3_outputs,</s>,-0.9966942,-0.75954944,-1.9563609,4.267768,0.97038805
attn_0_3_outputs,<pad>,-0.2969571,-0.25323248,-0.32305068,-0.10368831,1.0108063
attn_0_3_outputs,<s>,-0.09763115,-0.097300805,0.3833128,0.9585547,-0.3523895
attn_1_0_outputs,0,10.865294,2.476517,-2.9816532,-6.940721,-9.538793
attn_1_0_outputs,1,2.201063,5.5051994,-0.040137712,-4.0750976,-6.62539
attn_1_0_outputs,2,-3.7335663,-0.99301213,4.112124,-0.15084758,-2.8241081
attn_1_0_outputs,3,-6.9887156,-4.328555,-0.4176352,5.1193433,2.962421
attn_1_0_outputs,4,-9.616647,-6.9236884,-3.0015938,2.5409136,9.323638
attn_1_0_outputs,</s>,-1.500386,-0.5478923,0.51535374,0.79972345,0.80326176
attn_1_0_outputs,<pad>,-0.11739003,0.50445044,-0.012979599,-0.15336585,0.34323674
attn_1_0_outputs,<s>,-0.96608806,-0.54320604,-0.42482558,0.47320265,0.6784308
attn_1_1_outputs,0,12.264897,3.317781,-3.052315,-7.6496873,-10.911761
attn_1_1_outputs,1,3.742092,6.8116736,0.09365762,-4.7007365,-7.9136305
attn_1_1_outputs,2,-2.459937,0.15688686,3.9449286,-0.8813474,-4.1508017
attn_1_1_outputs,3,-6.98958,-4.187256,-0.65603507,5.7189856,2.4314878
attn_1_1_outputs,4,-7.9227815,-5.5980015,-2.7177265,2.619934,9.014866
attn_1_1_outputs,</s>,-7.256277,-4.923612,-1.7221247,4.496489,10.41174
attn_1_1_outputs,<pad>,-0.36514527,0.24987797,0.057486072,0.45357046,0.63439465
attn_1_1_outputs,<s>,-3.5815034,-3.789375,-0.055530287,2.1288989,5.8491445
attn_1_2_outputs,0,9.934339,2.1813304,-1.7924304,-7.45219,-9.437257
attn_1_2_outputs,1,1.778517,5.338156,0.63422436,-4.905625,-6.8806443
attn_1_2_outputs,2,-0.64155716,2.3652763,3.3187728,-2.5040414,-4.678029
attn_1_2_outputs,3,-3.838573,-1.4938283,-1.1559156,2.9705827,0.10490382
attn_1_2_outputs,4,-7.77005,-5.090787,-1.4556102,1.9793255,7.624737
attn_1_2_outputs,</s>,-3.8579986,-4.153458,-1.3646791,2.481766,4.6671367
attn_1_2_outputs,<pad>,-1.0763189,0.23174925,-0.26257154,-0.5043179,0.2681423
attn_1_2_outputs,<s>,-7.3586106,-3.8981328,-1.3072484,3.9015262,11.510968
attn_1_3_outputs,0,1.6386107,0.8999497,-0.69374216,-2.7765229,-1.7232128
attn_1_3_outputs,1,1.3706293,0.62303054,0.26487687,-1.3588315,-0.4721507
attn_1_3_outputs,2,-0.85944813,-0.7361409,0.56618375,0.49103832,1.4947901
attn_1_3_outputs,3,-0.466093,-1.3340567,-2.0602868,3.1017895,-1.1401668
attn_1_3_outputs,4,-2.9178739,-0.54721117,0.04085278,-1.4532892,3.9594333
attn_1_3_outputs,</s>,-0.13936181,0.055531207,0.019147752,-0.4383848,0.6496264
attn_1_3_outputs,<pad>,-0.54682714,0.16477762,0.09571535,-0.30833998,1.1358038
attn_1_3_outputs,<s>,-2.0843656,0.69710433,1.0859053,-0.88262606,0.64750403
mlp_0_0_outputs,0,7.9528217,0.98214513,-3.3044097,-13.415152,-21.63459
mlp_0_0_outputs,1,6.81011,3.2374854,0.37514755,-9.045178,-28.398195
mlp_0_0_outputs,2,-1.46082,3.393872,2.672654,-1.0032141,-6.5928407
mlp_0_0_outputs,3,-28.16197,-12.468483,-3.5814366,5.8405914,10.327588
mlp_0_0_outputs,4,-0.54927844,-0.65567726,0.33996612,-0.42168868,1.1135497
mlp_0_0_outputs,5,-0.6847706,-0.5443395,0.025305633,-0.029662088,0.27016142
mlp_0_0_outputs,6,-13.7835245,-1.4266366,1.0807488,3.206705,0.48590967
mlp_0_0_outputs,7,-0.17524825,0.20008257,0.47677934,0.01053805,-0.7426497
mlp_1_0_outputs,0,-13.661005,-10.190976,-2.5951178,2.3875625,6.060788
mlp_1_0_outputs,1,-7.3845167,-13.237577,-3.7673314,2.778473,5.1393404
mlp_1_0_outputs,2,5.463443,4.354411,-0.09601036,-10.551916,-14.260479
mlp_1_0_outputs,3,1.9353285,2.9205198,2.856406,-0.12853664,-4.1892343
mlp_1_0_outputs,4,-19.511915,-9.770659,3.2781372,8.672817,11.397324
mlp_1_0_outputs,5,0.037883643,0.10533419,-0.09443426,0.18522628,0.09531479
mlp_1_0_outputs,6,-0.21230695,-0.18687455,1.5064828,0.59312236,0.1816094
mlp_1_0_outputs,7,-1.7451912,-0.15871371,3.6675448,0.51278734,-4.317607
ones,_,-0.046878148,0.20065168,0.162179,0.42914826,0.6631811
positions,0,-0.4224545,1.0454371,0.029011505,0.0859931,-0.22635554
positions,1,10.02193,4.6718082,-4.051637,-13.371097,-14.893376
positions,2,2.6924636,1.4322562,2.169437,0.87310857,-7.5448856
positions,3,0.8206022,4.4953136,0.57655746,0.4775953,-10.122636
positions,4,-6.7918434,-1.5715023,1.5214825,5.705381,1.775042
positions,5,-16.583654,-4.2451415,1.7390279,3.504161,6.0524983
positions,6,-15.902181,-9.139059,-5.368898,4.6852503,10.6927395
positions,7,0.45020753,0.3057756,-0.5510827,0.1780851,0.34054205
tokens,0,11.822314,3.1506956,-2.4634075,-6.2366915,-8.750856
tokens,1,2.6040492,5.5725574,-0.31169707,-3.9264402,-6.523815
tokens,2,-4.0975127,-1.4971313,3.3418913,-0.4168966,-2.8002772
tokens,3,-7.130244,-4.997584,-1.4035345,4.702345,2.506538
tokens,4,-8.932532,-6.891244,-3.2443242,3.134428,10.112745
tokens,</s>,0.05885967,0.21933489,0.73440814,-0.51596206,-0.89209485
tokens,<pad>,0.6580322,0.07340446,-0.467081,-0.11813529,-0.46672356
tokens,<s>,0.53469676,-0.014858792,-0.6558324,-0.4452471,-0.6512997
