epoch,epoch_loss,split,loss,acc,sample_fn
0,1.2677189,train,0.9200638,0.6519050914042097,gumbel_soft
0,1.2677189,val,0.9523007,0.6275530636764117,gumbel_soft
0,1.2677189,test,0.9266117,0.6447557471264368,gumbel_soft
1,0.7677543,train,0.62181604,0.7682417803174036,gumbel_soft
1,0.7677543,val,0.62957317,0.7581097316780137,gumbel_soft
1,0.7677543,test,0.6270089,0.7622126436781609,gumbel_soft
2,0.56345963,train,0.5275622,0.8082185665498538,gumbel_soft
2,0.56345963,val,0.5032321,0.8241890268321986,gumbel_soft
2,0.56345963,test,0.4933933,0.8274066091954023,gumbel_soft
3,0.4915387,train,0.4606498,0.8331064038749135,gumbel_soft
3,0.4915387,val,0.42939833,0.8590308370044053,gumbel_soft
3,0.4915387,test,0.4655915,0.8275862068965517,gumbel_soft
4,0.438574,train,0.43982232,0.8491997946474409,gumbel_soft
4,0.438574,val,0.4575946,0.8410092110532639,gumbel_soft
4,0.438574,test,0.4278359,0.8611709770114943,gumbel_soft
5,0.4364877,train,0.389932,0.8670118970558693,gumbel_soft
5,0.4364877,val,0.4032979,0.8592310772927513,gumbel_soft
5,0.4364877,test,0.43614754,0.8362068965517241,gumbel_soft
6,0.37823078,train,0.36365977,0.8838418785294971,gumbel_soft
6,0.37823078,val,0.3660646,0.8804565478574289,gumbel_soft
6,0.37823078,test,0.3907691,0.8706896551724138,gumbel_soft
7,0.363123,train,0.3483068,0.8790205575768398,gumbel_soft
7,0.363123,val,0.3449752,0.8848618342010413,gumbel_soft
7,0.363123,test,0.35749707,0.8730244252873564,gumbel_soft
8,0.3409669,train,0.30102375,0.9081047298051382,gumbel_soft
8,0.3409669,val,0.31943637,0.9068882659191029,gumbel_soft
8,0.3409669,test,0.32158288,0.8963721264367817,gumbel_soft
9,0.2936275,train,0.270856,0.9220106694047008,gumbel_soft
9,0.2936275,val,0.26982653,0.9323187825390469,gumbel_soft
9,0.2936275,test,0.27535224,0.920617816091954,gumbel_soft
10,0.2772542,train,0.25589037,0.924867748487757,gumbel_soft
10,0.2772542,val,0.24671245,0.9359231077292751,gumbel_soft
10,0.2772542,test,0.24766369,0.9328304597701149,gumbel_soft
11,0.2529698,train,0.24473849,0.926474855471976,gumbel_soft
11,0.2529698,val,0.31759784,0.894873848618342,gumbel_soft
11,0.2529698,test,0.25566635,0.9224137931034483,gumbel_soft
12,0.25348777,train,0.25540623,0.9194660833463538,gumbel_soft
12,0.25348777,val,0.24095453,0.9249098918702443,gumbel_soft
12,0.25348777,test,0.23765258,0.9292385057471264,gumbel_soft
13,0.240679,train,0.2223435,0.9338854043436531,gumbel_soft
13,0.240679,val,0.2255463,0.9311173408089708,gumbel_soft
13,0.240679,test,0.24907328,0.9252873563218391,gumbel_soft
14,0.22504643,train,0.21514064,0.9329256043391888,gumbel_soft
14,0.22504643,val,0.19798465,0.9495394473368042,gumbel_soft
14,0.22504643,test,0.19940259,0.9445043103448276,gumbel_soft
15,0.21133576,train,0.20480366,0.9349568089997992,gumbel_soft
